DATE_TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,Total_DC,Total_AC,Total_Daily,Total_Yield
2020-05-23 19:15:00,27.58875313333333,25.794478133333328,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 19:30:00,27.35458573333333,25.633465600000005,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 19:45:00,27.17084366666667,25.592665600000004,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 20:00:00,26.9254904,25.399934866666666,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 20:15:00,26.74023646666667,25.1433514,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 20:30:00,26.542622,24.715713500000003,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 20:45:00,26.3805358,24.4444234,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 21:00:00,26.2500794,24.092059266666663,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 21:15:00,26.0939412,23.791683066666668,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 21:30:00,26.035589666666667,24.022705066666667,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 22:00:00,25.7736,23.732849,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 22:15:00,25.654901066666667,23.449275533333328,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 22:30:00,25.488665666666662,23.103936733333327,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 22:45:00,25.33885486666667,22.979264466666667,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 23:00:00,25.1337626,22.6813252,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 23:15:00,24.969698,22.494120266666663,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 23:30:00,24.838093428571423,22.509726357142856,0.0,0.0,0.0,186728.0,53292829.37800186
2020-05-23 23:45:00,24.81882946666667,22.467185466666667,0.0,0.0,0.0,170940.571429,53292829.37800186
2020-05-24 00:00:00,24.6906805,22.17558057142857,0.0,0.0,0.0,6807.9285709999995,53292829.37800186
2020-05-24 00:15:00,24.538547666666663,21.8853208,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 00:30:00,24.327402866666667,21.633982266666667,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 00:45:00,24.253961200000003,21.66131586666667,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 01:00:00,24.2181986,21.775756733333328,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 01:15:00,24.211336266666667,21.765153,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 01:30:00,24.305967,22.219170642857147,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 01:45:00,24.47437553333333,22.922821066666668,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 02:00:00,24.566530333333333,23.147521933333334,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 02:15:00,24.6126954,22.74956053333333,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 02:30:00,24.401302066666663,22.162550733333337,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 02:45:00,24.0961324,21.322037666666663,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 03:00:00,24.0066,21.193375733333337,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 03:15:00,23.984708733333328,21.2534078,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 03:30:00,23.969868428571427,21.364536928571425,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 03:45:00,23.9593852,21.597076466666667,0.0,0.0,0.0,0.0,53292829.37800186
2020-05-24 04:00:00,23.917812133333328,21.46754153333333,0.0,0.0,0.0,0.0,53292829.37800186
